Algorithm,TimeTaken,Nodes,Time/Node
dijkstra,0.0331,5755,0.00000576
dijkstra,0.0322,5755,0.00000559
dijkstra,0.0324,5807,0.00000558
dijkstra,0.0307,5807,0.00000528
dijkstra,0.0308,5807,0.00000530
dijkstra,0.0331,5858,0.00000565
dijkstra,0.0319,5858,0.00000545
dijkstra,0.0317,5858,0.00000541
dijkstra,0.0311,5858,0.00000531
dijkstra,0.0318,5900,0.00000539
dijkstra,0.0304,5900,0.00000516
dijkstra,0.0307,5900,0.00000520
dijkstra,0.0316,5900,0.00000536
dijkstra,0.0318,5900,0.00000539
dijkstra,0.0305,5900,0.00000517
dijkstra,0.0302,5900,0.00000512
dijkstra,0.0318,5900,0.00000539
dijkstra,0.0316,5900,0.00000535
dijkstra,0.0309,5900,0.00000525
dijkstra,0.0316,5943,0.00000531
dijkstra,0.0305,5943,0.00000514
dijkstra,0.0308,6007,0.00000512
dijkstra,0.0334,6007,0.00000555
dijkstra,0.0309,6007,0.00000514
dijkstra,0.0296,6007,0.00000493
dijkstra,0.0332,6007,0.00000553
dijkstra,0.0308,6007,0.00000512
dijkstra,0.0325,6007,0.00000541
dijkstra,0.0338,6007,0.00000563
dijkstra,0.0338,6048,0.00000560
dijkstra,0.0325,6067,0.00000536
dijkstra,0.0279,6102,0.00000458
dijkstra,0.0289,6148,0.00000471
dijkstra,0.0296,6192,0.00000478
dijkstra,0.0290,6192,0.00000468
dijkstra,0.0327,6192,0.00000529
dijkstra,0.0308,6192,0.00000498
dijkstra,0.0336,6192,0.00000543
dijkstra,0.0338,6192,0.00000547
dijkstra,0.0334,6221,0.00000536
dijkstra,0.0303,6221,0.00000487
dijkstra,0.0333,6221,0.00000536
dijkstra,0.0320,6238,0.00000513
dijkstra,0.0332,6238,0.00000532
dijkstra,0.0336,6238,0.00000538
dijkstra,0.0326,6238,0.00000523
